capital,alpha2Code,demonym,name,population,region,subregion
Mariehamn,AX,Ålandish,Åland Islands,28875,Europe,Northern Europe
Tirana,AL,Albanian,Albania,2886026,Europe,Southern Europe
Andorra la Vella,AD,Andorran,Andorra,78014,Europe,Southern Europe
Vienna,AT,Austrian,Austria,8725931,Europe,Western Europe
Minsk,BY,Belarusian,Belarus,9498700,Europe,Eastern Europe
Brussels,BE,Belgian,Belgium,11319511,Europe,Western Europe
Sarajevo,BA,"Bosnian, Herzegovinian",Bosnia and Herzegovina,3531159,Europe,Southern Europe
Sofia,BG,Bulgarian,Bulgaria,7153784,Europe,Eastern Europe
Zagreb,HR,Croatian,Croatia,4190669,Europe,Southern Europe
Nicosia,CY,Cypriot,Cyprus,847000,Europe,Southern Europe
Prague,CZ,Czech,Czech Republic,10558524,Europe,Eastern Europe
Copenhagen,DK,Danish,Denmark,5717014,Europe,Northern Europe
Tallinn,EE,Estonian,Estonia,1315944,Europe,Northern Europe
Tórshavn,FO,Faroese,Faroe Islands,49376,Europe,Northern Europe
Helsinki,FI,Finnish,Finland,5491817,Europe,Northern Europe
Paris,FR,French,France,66710000,Europe,Western Europe
Berlin,DE,German,Germany,81770900,Europe,Western Europe
Gibraltar,GI,Gibraltar,Gibraltar,33140,Europe,Southern Europe
Athens,GR,Greek,Greece,10858018,Europe,Southern Europe
St. Peter Port,GG,Channel Islander,Guernsey,62999,Europe,Northern Europe
Rome,VA,,Holy See,451,Europe,Southern Europe
Budapest,HU,Hungarian,Hungary,9823000,Europe,Eastern Europe
Reykjavík,IS,Icelander,Iceland,334300,Europe,Northern Europe
Dublin,IE,Irish,Ireland,6378000,Europe,Northern Europe
Douglas,IM,Manx,Isle of Man,84497,Europe,Northern Europe
Rome,IT,Italian,Italy,60665551,Europe,Southern Europe
Saint Helier,JE,Channel Islander,Jersey,100800,Europe,Northern Europe
Riga,LV,Latvian,Latvia,1961600,Europe,Northern Europe
Vaduz,LI,Liechtensteiner,Liechtenstein,37623,Europe,Western Europe
Vilnius,LT,Lithuanian,Lithuania,2872294,Europe,Northern Europe
Luxembourg,LU,Luxembourger,Luxembourg,576200,Europe,Western Europe
Skopje,MK,Macedonian,Macedonia (the former Yugoslav Republic of),2058539,Europe,Southern Europe
Valletta,MT,Maltese,Malta,425384,Europe,Southern Europe
Chișinău,MD,Moldovan,Moldova (Republic of),3553100,Europe,Eastern Europe
Monaco,MC,Monegasque,Monaco,38400,Europe,Western Europe
Podgorica,ME,Montenegrin,Montenegro,621810,Europe,Southern Europe
Amsterdam,NL,Dutch,Netherlands,17019800,Europe,Western Europe
Oslo,NO,Norwegian,Norway,5223256,Europe,Northern Europe
Warsaw,PL,Polish,Poland,38437239,Europe,Eastern Europe
Lisbon,PT,Portuguese,Portugal,10374822,Europe,Southern Europe
Pristina,XK,Kosovar,Republic of Kosovo,1733842,Europe,Eastern Europe
Bucharest,RO,Romanian,Romania,19861408,Europe,Eastern Europe
Moscow,RU,Russian,Russian Federation,146599183,Europe,Eastern Europe
City of San Marino,SM,Sammarinese,San Marino,33005,Europe,Southern Europe
Belgrade,RS,Serbian,Serbia,7076372,Europe,Southern Europe
Bratislava,SK,Slovak,Slovakia,5426252,Europe,Eastern Europe
Ljubljana,SI,Slovene,Slovenia,2064188,Europe,Southern Europe
Madrid,ES,Spanish,Spain,46438422,Europe,Southern Europe
Longyearbyen,SJ,Norwegian,Svalbard and Jan Mayen,2562,Europe,Northern Europe
Stockholm,SE,Swedish,Sweden,9894888,Europe,Northern Europe
Bern,CH,Swiss,Switzerland,8341600,Europe,Western Europe
Kiev,UA,Ukrainian,Ukraine,42692393,Europe,Eastern Europe
London,GB,British,United Kingdom of Great Britain and Northern Ireland,65110000,Europe,Northern Europe
