number,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
1,Moscow,Moscow,55.7522,37.6155,Russia,RU,RUS,Moskva,primary,10452000,1643318494
2,Paris,Paris,48.8667,2.3333,France,FR,FRA,ÃŽle-de-France,primary,9904000,1250015082
3,London,London,51.5,-0.1167,United Kingdom,GB,GBR,"London, City of",primary,8567000,1826645935
4,Madrid,Madrid,40.4,-3.6834,Spain,ES,ESP,Madrid,primary,5567000,1724616994
5,Barcelona,Barcelona,41.3833,2.1834,Spain,ES,ESP,Catalonia,admin,4920000,1724594040
6,Saint Petersburg,Saint Petersburg,59.939,30.316,Russia,RU,RUS,Sankt-Peterburg,admin,4553000,1643616350
7,Berlin,Berlin,52.5218,13.4015,Germany,DE,DEU,Berlin,primary,3406000,1276451290
8,Rome,Rome,41.896,12.4833,Italy,IT,ITA,Lazio,primary,3339000,1380382862
9,Athens,Athens,37.9833,23.7333,Greece,GR,GRC,AttikÃ­,primary,3242000,1300715560
10,Milan,Milan,45.47,9.205,Italy,IT,ITA,Lombardy,admin,2945000,1380724377
11,Stuttgart,Stuttgart,48.78,9.2,Germany,DE,DEU,Baden-WÃ¼rttemberg,admin,2944700,1276171358
12,Frankfurt,Frankfurt,50.1,8.675,Germany,DE,DEU,Hesse,minor,2895000,1276054552
13,Lisbon,Lisbon,38.7227,-9.1449,Portugal,PT,PRT,Lisboa,primary,2812000,1620619017
14,Katowice,Katowice,50.2604,19.02,Poland,PL,POL,ÅšlÄ…skie,admin,2746000,1616798495
15,Kyiv,Kyiv,50.4334,30.5166,Ukraine,UA,UKR,"Kyyiv, Misto",primary,2709000,1804382913
16,Vienna,Vienna,48.2,16.3666,Austria,AT,AUT,Wien,primary,2400000,1040261752
17,Mannheim,Mannheim,49.5004,8.47,Germany,DE,DEU,Baden-WÃ¼rttemberg,minor,2362000,1276150104
18,Birmingham,Birmingham,52.475,-1.92,United Kingdom,GB,GBR,Birmingham,admin,2285000,1826423213
19,Naples,Naples,40.84,14.245,Italy,IT,ITA,Campania,admin,2250000,1380646673
20,Manchester,Manchester,53.5004,-2.248,United Kingdom,GB,GBR,Manchester,admin,2230000,1826246335
21,Bucharest,Bucharest,44.4334,26.0999,Romania,RO,ROU,BucureÅŸti,primary,1942000,1642414442
22,Minsk,Minsk,53.9,27.5666,Belarus,BY,BLR,Minsk,primary,1805000,1112348503
23,Hamburg,Hamburg,53.55,10,Germany,DE,DEU,Hamburg,admin,1757000,1276041799
24,Essen,Essen,51.45,7.0166,Germany,DE,DEU,North Rhine-Westphalia,minor,1742135,1276769247
25,Warsaw,Warsaw,52.25,21,Poland,PL,POL,Mazowieckie,primary,1707000,1616024847
26,Budapest,Budapest,47.5,19.0833,Hungary,HU,HUN,Budapest,primary,1679000,1348611435
27,Turin,Turin,45.0704,7.67,Italy,IT,ITA,Piedmont,admin,1652000,1380244627
28,Leeds,Leeds,53.83,-1.58,United Kingdom,GB,GBR,Leeds,admin,1529000,1826343963
29,Florence,Florence,43.78,11.25,Italy,IT,ITA,Tuscany,admin,1500000,1380726561
30,Kharkiv,Kharkiv,50,36.25,Ukraine,UA,UKR,Kharkivsâ€™ka Oblastâ€™,admin,1461000,1804588111
31,Lyon,Lyon,45.77,4.83,France,FR,FRA,Auvergne-RhÃ´ne-Alpes,admin,1423000,1250196189
32,The Hague,The Hague,52.08,4.27,Netherlands,NL,NLD,Zuid-Holland,primary,1406000,1528799905
33,Marseille,Marseille,43.29,5.375,France,FR,FRA,Provence-Alpes-CÃ´te dâ€™Azur,admin,1400000,1250774071
34,Novosibirsk,Novosibirsk,55.03,82.96,Russia,RU,RUS,Novosibirskaya Oblastâ€™,admin,1389000,1643399240
35,Porto,Porto,41.15,-8.62,Portugal,PT,PRT,Porto,admin,1337000,1620356810
36,Yekaterinburg,Yekaterinburg,56.85,60.6,Russia,RU,RUS,Sverdlovskaya Oblastâ€™,admin,1313000,1643582706
37,Sheffield,Sheffield,53.3667,-1.5,United Kingdom,GB,GBR,Sheffield,admin,1292900,1826289852
38,Nizhniy Novgorod,Nizhniy Novgorod,56.333,44.0001,Russia,RU,RUS,Nizhegorodskaya Oblastâ€™,admin,1278000,1643012126
39,Duisburg,Duisburg,51.43,6.75,Germany,DE,DEU,North Rhine-Westphalia,minor,1276757,1276977172
40,Munich,Munich,48.1299,11.575,Germany,DE,DEU,Bavaria,admin,1275000,1276692352
41,Stockholm,Stockholm,59.3508,18.0973,Sweden,SE,SWE,Stockholm,primary,1264000,1752425602
42,Geneva,Geneva,46.21,6.14,Switzerland,CH,CHE,GenÃ¨ve,admin,1240000,1756810813
43,DÃ¼sseldorf,Dusseldorf,51.2204,6.78,Germany,DE,DEU,North Rhine-Westphalia,admin,1220000,1276615258
44,Sevilla,Sevilla,37.405,-5.98,Spain,ES,ESP,Andalusia,admin,1212045,1724991838
45,Sofia,Sofia,42.6833,23.3167,Bulgaria,BG,BGR,Sofia-Grad,primary,1185000,1100762037
46,Prague,Prague,50.0833,14.466,Czechia,CZ,CZE,"Praha, HlavnÃ­ MÄ›sto",primary,1162000,1203744823
47,Glasgow,Glasgow,55.8744,-4.2507,United Kingdom,GB,GBR,Glasgow City,admin,1160000,1826836462
48,Samara,Samara,53.195,50.1513,Russia,RU,RUS,Samarskaya Oblastâ€™,admin,1137000,1643205757
49,Omsk,Omsk,54.99,73.4,Russia,RU,RUS,Omskaya Oblastâ€™,admin,1135000,1643360863
50,Helsinki,Helsinki,60.1756,24.9341,Finland,FI,FIN,Uusimaa,primary,1115000,1246177997
51,Kazanâ€™,Kazan',55.7499,49.1263,Russia,RU,RUS,Tatarstan,admin,1115000,1643101260
52,ZÃ¼rich,Zurich,47.38,8.55,Switzerland,CH,CHE,ZÃ¼rich,admin,1108000,1756539143
53,Belgrade,Belgrade,44.8186,20.468,Serbia,RS,SRB,Beograd,primary,1099000,1688374696
54,Chelyabinsk,Chelyabinsk,55.155,61.4387,Russia,RU,RUS,Chelyabinskaya Oblastâ€™,admin,1091000,1643224011
55,Copenhagen,Copenhagen,55.6786,12.5635,Denmark,DK,DNK,Hovedstaden,primary,1085000,1208763942
56,Dublin,Dublin,53.3331,-6.2489,Ireland,IE,IRL,Dublin,primary,1059000,1372595407
57,Rostov-na-Donu,Rostov-na-Donu,47.2346,39.7127,Russia,RU,RUS,Rostovskaya Oblastâ€™,admin,1052000,1643013518
58,Dnipro,Dnipro,48.48,35,Ukraine,UA,UKR,Dnipropetrovsâ€™ka Oblastâ€™,admin,1050000,1804152933
59,Lille,Lille,50.65,3.08,France,FR,FRA,Hauts-de-France,admin,1044000,1250071961
60,Amsterdam,Amsterdam,52.35,4.9166,Netherlands,NL,NLD,Noord-Holland,primary,1031000,1528355309
61,Ufa,Ufa,54.79,56.04,Russia,RU,RUS,Bashkortostan,admin,1018000,1643722928
