number,city,lat,lng,country,countryCode
1,Moscow,55.7522,37.6155,Russia,RU
2,Paris,48.8667,2.3333,France,FR
3,London,51.5,-0.1167,United Kingdom,GB
4,Madrid,40.4,-3.6834,Spain,ES
5,Barcelona,41.3833,2.1834,Spain,ES
6,Saint Petersburg,59.939,30.316,Russia,RU
7,Berlin,52.5218,13.4015,Germany,DE
8,Rome,41.896,12.4833,Italy,IT
9,Athens,37.9833,23.7333,Greece,GR
10,Milan,45.47,9.205,Italy,IT
11,Stuttgart,48.78,9.2,Germany,DE
12,Frankfurt,50.1,8.675,Germany,DE
13,Lisbon,38.7227,-9.1449,Portugal,PT
14,Katowice,50.2604,19.02,Poland,PL
15,Kyiv,50.4334,30.5166,Ukraine,UA
16,Vienna,48.2,16.3666,Austria,AT
17,Mannheim,49.5004,8.47,Germany,DE
18,Birmingham,52.475,-1.92,United Kingdom,GB
19,Naples,40.84,14.245,Italy,IT
20,Manchester,53.5004,-2.248,United Kingdom,GB
21,Bucharest,44.4334,26.0999,Romania,RO
22,Minsk,53.9,27.5666,Belarus,BY
23,Hamburg,53.55,10,Germany,DE
24,Essen,51.45,7.0166,Germany,DE
25,Warsaw,52.25,21,Poland,PL
26,Budapest,47.5,19.0833,Hungary,HU
27,Turin,45.0704,7.67,Italy,IT
28,Leeds,53.83,-1.58,United Kingdom,GB
29,Florence,43.78,11.25,Italy,IT
30,Kharkiv,50,36.25,Ukraine,UA
31,Lyon,45.77,4.83,France,FR
32,The Hague,52.08,4.27,Netherlands,NL
33,Marseille,43.29,5.375,France,FR
34,Novosibirsk,55.03,82.96,Russia,RU
35,Porto,41.15,-8.62,Portugal,PT
36,Yekaterinburg,56.85,60.6,Russia,RU
37,Sheffield,53.3667,-1.5,United Kingdom,GB
38,Nizhniy Novgorod,56.333,44.0001,Russia,RU
39,Duisburg,51.43,6.75,Germany,DE
40,Munich,48.1299,11.575,Germany,DE
41,Stockholm,59.3508,18.0973,Sweden,SE
42,Geneva,46.21,6.14,Switzerland,CH
43,DÃ¼sseldorf,51.2204,6.78,Germany,DE
44,Sevilla,37.405,-5.98,Spain,ES
45,Sofia,42.6833,23.3167,Bulgaria,BG
46,Prague,50.0833,14.466,Czechia,CZ
47,Glasgow,55.8744,-4.2507,United Kingdom,GB
48,Samara,53.195,50.1513,Russia,RU
49,Omsk,54.99,73.4,Russia,RU
50,Helsinki,60.1756,24.9341,Finland,FI
51,Kazanâ€™,55.7499,49.1263,Russia,RU
52,ZÃ¼rich,47.38,8.55,Switzerland,CH
53,Belgrade,44.8186,20.468,Serbia,RS
54,Chelyabinsk,55.155,61.4387,Russia,RU
55,Copenhagen,55.6786,12.5635,Denmark,DK
56,Dublin,53.3331,-6.2489,Ireland,IE
57,Rostov-na-Donu,47.2346,39.7127,Russia,RU
58,Dnipro,48.48,35,Ukraine,UA
59,Lille,50.65,3.08,France,FR
60,Amsterdam,52.35,4.9166,Netherlands,NL
61,Ufa,54.79,56.04,Russia,RU
62,Rotterdam,51.92,4.48,Netherlands,NL
63,Cologne,50.93,6.95,Germany,DE
64,Tirana,41.3275,19.8189,Albania,AL
65,Oslo,59.9167,10.75,Norway,NO
66,Riga,56.95,24.1,Latvia,LV
67,Zagreb,45.8,16,Croatia,HR
68,Sarajevo,43.85,18.383,Bosnia And Herzegovina,BA
69,Chisinau,47.005,28.8577,Moldova,MD
70,Vilnius,54.6834,25.3166,Lithuania,LT
71,Bratislava,48.15,17.117,Slovakia,SK
72,Tallinn,59.4339,24.728,Estonia,EE
73,Valletta,35.8997,14.5147,Malta,MT
74,Ljubljana,46.0553,14.515,Slovenia,SI
75,Bern,46.9167,7.467,Switzerland,CH
76,ReykjavÃ­k,64.15,-21.95,Iceland,IS
77,Podgorica,42.466,19.2663,Montenegro,ME
78,Luxembourg,49.6117,6.13,Luxembourg,LU
79,Andorra la Vella,42.5,1.5165,Andorra,AD
80,Monaco,43.7396,7.4069,Monaco,MC
81,Vaduz,47.1337,9.5167,Liechtenstein,LI
82,San Marino,43.9172,12.4667,San Marino,SM
83,Permâ€™,58,56.25,Russia,RU
84,Odesa,46.49,30.71,Ukraine,UA
85,Donetsâ€™k,48,37.83,Ukraine,UA
86,Volgograd,48.71,44.5,Russia,RU
87,Salerno,40.6804,14.7699,Italy,IT
88,Nice,43.715,7.265,France,FR
89,Krasnoyarsk,56.014,92.866,Russia,RU
90,Newcastle upon Tyne,55.0004,-1.6,United Kingdom,GB
91,Bilbao,43.25,-2.93,Spain,ES
92,Palermo,38.125,13.35,Italy,IT
93,Caerdydd,51.5,-3.225,United Kingdom,GB
94,Toulouse,43.62,1.4499,France,FR
95,Voronezh,51.73,39.27,Russia,RU
96,Saratov,51.58,46.03,Russia,RU
97,Basel,47.5804,7.59,Switzerland,CH
98,ThessalonÃ­ki,40.6961,22.885,Greece,GR
99,Braga,41.555,-8.4213,Portugal,PT
100,Nottingham,52.9703,-1.17,United Kingdom,GB
101,Liverpool,53.416,-2.918,United Kingdom,GB
102,Valencia,39.485,-0.4,Spain,ES
103,Lâ€™viv,49.835,24.03,Ukraine,UA
104,Bordeaux,44.85,-0.595,France,FR
105,Zaporizhzhya,47.8573,35.1768,Ukraine,UA
106,Wuppertal,51.25,7.17,Germany,DE
107,SaarbrÃ¼cken,49.2504,6.97,Germany,DE
108,ÅÃ³dÅº,51.775,19.4514,Poland,PL
109,KrakÃ³w,50.06,19.96,Poland,PL
110,GdaÅ„sk,54.36,18.64,Poland,PL
111,Nuremberg,49.45,11.08,Germany,DE
112,Bremen,53.08,8.8,Germany,DE
113,Hannover,52.367,9.7167,Germany,DE
114,Tolâ€™yatti,53.4804,49.53,Russia,RU
